q'',Te,Ku,Ja,Prliq,Bo,Mo0.25,Di/Le,Do/Di,heff
4550,37,0.001763512,0.02840504,5.080120894,1.121887625,0.001518077,0.042857143,1.666666667,277
9099,44,0.00298339,0.030221715,4.262538938,1.120373883,0.001519088,0.042857143,1.666666667,535
13649,48,0.004107434,0.027057527,3.531977975,1.133348272,0.001296271,0.042857143,1.666666667,910
18198,54,0.004798183,0.027532411,3.504892255,1.131768825,0.001297159,0.042857143,1.666666667,1213
22748,61,0.005213003,0.028925302,2.963915805,1.144104861,0.001128336,0.042857143,1.666666667,1422
4550,39.9,0.001639702,0.033880069,4.309676019,1.121267759,0.001518491,0.042857143,1.666666667,235
9099,65.3,0.001930547,0.069154238,2.735954118,1.150703835,0.001059572,0.042857143,1.666666667,233
13649,58.5,0.003258606,0.04504335,2.963915805,1.144728463,0.001128036,0.042857143,1.666666667,547
18198,65.9,0.003786817,0.046510035,2.735954118,1.150359392,0.001059727,0.042857143,1.666666667,702
22748,105.1,0.003061935,0.148345626,0.883986696,1.196270831,0.000381116,0.042857143,1.666666667,356
4550,38.4,0.00172081,0.034849766,4.541296154,0.299124499,0.001577039,0.0114,2.5,226
9099,59.2,0.002172404,0.069444787,2.963915805,0.305260924,0.001128036,0.0114,2.5,233
13649,78,0.002290336,0.102895308,2.360521699,0.312192721,0.000955242,0.0114,2.5,241
18198,95.5,0.002310523,0.135809193,1.745795765,0.314923113,0.000730585,0.0114,2.5,249
22748,113.4,0.002223682,0.170355361,1.573867222,0.317970665,0.000679576,0.0114,2.5,254
4550,39.7,0.001637231,0.039033471,4.311656872,0.747511839,0.001519189,0.028571429,1.5,202
9099,65.8,0.001890907,0.07967722,2.704985822,0.766906262,0.001047732,0.028571429,1.5,204
13649,84.8,0.002027045,0.111179945,2.07569142,0.77866974,0.000846339,0.028571429,1.5,225
18198,107.4,0.001937538,0.150646441,1.670007321,0.7962083,0.000718939,0.028571429,1.5,228
22748,125.7,0.001912413,0.18590704,1.240029155,0.827775981,0.000573756,0.028571429,1.5,238
4550,37,0.001672702,0.034436384,4.360555556,1.121574082,0.001530614,0.042857143,1.666666667,277
9099,44,0.003112848,0.031473344,4.326220472,1.120834899,0.001531112,0.042857143,1.666666667,535
13649,48,0.00402052,0.038521686,3.583910355,1.133105604,0.001316572,0.042857143,1.666666667,910
18198,54,0.004787563,0.041209339,3.278907692,1.131774448,0.001210521,0.042857143,1.666666667,1213
22748,61,0.005516625,0.04244697,3.017480122,1.130615223,0.001120889,0.042857143,1.666666667,1422
4550,39.7,0.002024453,0.075413424,4.276166473,1.794551583,0.001836289,0.042857143,1.666666667,248
9099,44.8,0.003578426,0.087894315,4.092323219,1.83470061,0.001776064,0.042857143,1.666666667,436
13649,44.1,0.005367639,0.072001674,4.092323219,1.83470061,0.001776064,0.042857143,1.666666667,799
18198,48.7,0.007156851,0.076343695,4.092323219,1.83470061,0.001776064,0.042857143,1.666666667,1005
22748,52.7,0.008530389,0.08071837,3.997458889,1.864915372,0.001752727,0.042857143,1.666666667,1203
4550,38.2,0.002024453,0.062940571,4.276166473,1.794551583,0.001836288,0.042857143,1.666666667,298
9099,59.3,0.003164088,0.130539553,3.858247827,1.915066548,0.001731649,0.042857143,1.666666667,302
13649,52.6,0.005118233,0.066546768,3.997458889,1.864915372,0.001752727,0.042857143,1.666666667,875
18198,58.7,0.006395829,0.062945157,3.867739378,1.912959118,0.001732812,0.042857143,1.666666667,1253
22748,64.2,0.00734717,0.05965227,3.744940201,1.959228838,0.00171426,0.042857143,1.666666667,1675
4550,36.2,0.0020839,0.07188188,4.33112231,1.191174863,0.001848645,0.028571429,1.5,259
9099,47.5,0.003578426,0.104925156,4.092323219,1.22313374,0.001776064,0.028571429,1.5,366
13649,58.3,0.004825889,0.135191715,3.87953203,1.272922621,0.001733725,0.028571429,1.5,437
18198,68.7,0.005628565,0.168173425,3.558098765,1.33328884,0.001698678,0.028571429,1.5,486
22748,78.1,0.00648799,0.195332221,3.398661063,1.397619921,0.001664573,0.028571429,1.5,535
4550,38,0.002024453,0.091220605,4.276166473,0.478547089,0.001836288,0.0114,2.5,205
9099,47.2,0.00359797,0.110309696,4.107043038,0.488707401,0.001779358,0.0114,2.5,347
13649,73.4,0.004072644,0.22797268,3.480862025,0.545990484,0.001681552,0.0114,2.5,273
18198,95.9,0.00442035,0.331051741,2.914514286,0.624783057,0.001588562,0.0114,2.5,260
22748,109.4,0.005086781,0.386753529,2.447372506,0.693994567,0.001523237,0.0114,2.5,284
4550,38.3,0.001868719,0.040349243,12.91311765,1.819508914,0.005182695,0.042857143,1.666666667,273
